hfhudcode,id,cfname,updateddate,addeddate,reportdate,gown,gloves,head_cover,goggles,coverall,shoe_cover,face_shield,surgmask,n95mask
DOH000000000000221,490,BARILI DISTRICT HOSPITAL,2020-04-17 16:30:07,2020-04-17 16:30:07,2020-04-17,61,1500,150,22,5,15,115,400,15
DOH000000000000221,1368,BARILI DISTRICT HOSPITAL,2020-04-24 13:21:45,2020-04-24 13:21:45,2020-04-24,53,850,172,21,15,4,228,613,0
DOH000000000000222,2908,BULALACAO COMMUNITY HOSPITAL,2020-05-01 14:25:38,2020-05-01 14:25:38,2020-05-01,4,3850,450,26,78,100,58,125,56
DOH000000000000232,259,SAN SEBASTIAN DISTRICT HOSPITAL,2020-04-17 13:29:31,2020-04-17 13:29:31,2020-04-17,132,1000,800,52,30,385,100,500,50
DOH000000000000236,1105,Ospital ng Palawan,2020-04-24 10:28:24,2020-04-24 10:28:24,2020-04-24,80,11000,12000,120,200,600,100,5500,10
DOH000000000000253,2681,COMPOSTELA VALLEY PROVINCIAL HOSPITAL - PANTUKAN,2020-05-01 11:45:03,2020-05-01 11:45:03,2020-05-01,74,8934,1974,143,107,96,178,4829,261
DOH000000000000260,3103,SANTA CRUZ DISTRICT HOSPITAL,2020-05-01 15:56:03,2020-05-01 15:56:03,2020-05-01,55,350,85,38,17,260,35,50,0
DOH000000000000265,70,URDANETA DISTRICT HOSPITAL,2020-04-17 9:30:05,2020-04-17 9:30:05,2020-04-17,56,2000,300,249,25,0,150,500,5
DOH000000000000265,1185,URDANETA DISTRICT HOSPITAL,2020-04-24 11:09:58,2020-04-24 11:09:58,2020-04-24,5,1000,200,240,25,25,245,500,0
DOH000000000000265,2106,URDANETA DISTRICT HOSPITAL,2020-05-01 7:19:51,2020-05-01 7:19:51,2020-05-01,9,1400,420,240,41,22,349,1650,0
DOH000000000000268,597,DAVAO REGIONAL MEDICAL CENTER,2020-04-17 22:14:04,2020-04-17 22:14:04,2020-04-17,79,2590,630,173,205,368,85,193,599
DOH000000000000268,1900,DAVAO REGIONAL MEDICAL CENTER,2020-04-25 7:22:39,2020-04-25 7:22:39,2020-04-25,83,5358,1797,85,118,1337,59,3946,1433
DOH000000000000269,1867,TARLAC PROVINCIAL HOSPITAL,2020-04-24 20:57:47,2020-04-24 20:57:47,2020-04-24,300,1000,500,300,300,500,300,1000,500
DOH000000000000269,587,TARLAC PROVINCIAL HOSPITAL,2020-04-17 20:45:33,2020-04-17 20:45:33,2020-04-17,150,2000,1000,150,150,1000,100,2000,200
DOH000000000000271,1215,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-24 11:29:27,2020-04-24 11:29:27,2020-04-24,333,406300,20921,1690,2768,102,585,35800,195
DOH000000000000271,509,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-17 16:42:01,2020-04-17 16:42:01,2020-04-17,198,447700,13629,653,1920,367,340,37600,100
DOH000000000000272,478,JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-17 16:19:56,2020-04-17 16:19:56,2020-04-17,22,33,1400,820,1590,1740,703,125,746
DOH000000000000272,1429,JAMES L. GORDON MEMORIAL HOSPITAL,2020-04-24 15:57:07,2020-04-24 13:59:49,2020-04-24,638,21000,700,478,145,1602,545,176,538
DOH000000000000272,3027,JAMES L. GORDON MEMORIAL HOSPITAL,2020-05-01 15:22:58,2020-05-01 15:22:58,2020-05-01,258,20200,1580,1480,2308,2486,782,7900,1271
DOH000000000000273,1762,REGION I MEDICAL CENTER,2020-04-24 16:45:42,2020-04-24 16:45:42,2020-04-24,30,1600,2003,33,355,1000,96,14328,793
DOH000000000000273,2692,REGION I MEDICAL CENTER,2020-05-01 11:51:51,2020-05-01 11:51:51,2020-05-01,2050,12000,5500,800,3810,1900,800,5200,920
DOH000000000000273,488,REGION I MEDICAL CENTER,2020-04-17 16:27:55,2020-04-17 16:27:55,2020-04-17,250,7500,500,80,350,500,100,1000,2200
DOH000000000000275,1828,SOUTHERN PHILIPPINES MEDICAL CENTER,2020-04-24 17:51:32,2020-04-24 17:51:32,2020-04-24,1750,15200,778800,1278,3200,730,2082,26900,3100
DOH000000000000276,844,DR. PAULINO J. GARCIA MEMORIAL RESEARCH & MEDICAL CENTER,2020-04-24 8:35:27,2020-04-24 8:35:27,2020-04-24,30,1600,2003,33,355,1000,96,14328,793
DOH000000000000277,343,Bicol Sanitarium,2020-04-17 14:57:14,2020-04-17 14:57:14,2020-04-17,50,50000,2127,170,52,183,100,15500,1720
DOH000000000000277,1284,Bicol Sanitarium,2020-04-24 12:18:11,2020-04-24 12:18:11,2020-04-24,50,50000,2087,156,48,181,100,15700,1570
DOH000000000000277,2841,Bicol Sanitarium,2020-05-01 13:51:57,2020-05-01 13:51:57,2020-05-01,50,50000,1984,152,1000,100,100,15700,580
DOH000000000000278,1827,BICOL MEDICAL CENTER,2020-04-24 18:38:27,2020-04-24 17:50:54,2020-04-24,1200,4340,1360,1082,1186,1360,100,5410,1575
DOH000000000000278,248,BICOL MEDICAL CENTER,2020-04-17 13:15:03,2020-04-17 13:15:03,2020-04-17,140,3480,500,87,100,500,80,4550,600
DOH000000000000278,614,BICOL MEDICAL CENTER,2020-04-18 8:28:29,2020-04-18 8:28:29,2020-04-18,140,3480,500,87,100,509,80,4550,600
DOH000000000000280,145,ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-17 11:12:15,2020-04-17 11:12:15,2020-04-17,21,2800,26,21,26,21,23,3540,44
DOH000000000000280,1488,ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-04-24 14:33:04,2020-04-24 14:33:04,2020-04-24,41,3500,31,31,46,31,43,3455,44
DOH000000000000280,2925,ILOCOS SUR DISTRICT HOSPITAL - SALCEDO,2020-05-01 14:30:51,2020-05-01 14:30:51,2020-05-01,41,3000,31,31,46,31,43,3008,44
DOH000000000000281,2879,ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,2020-05-01 14:09:17,2020-05-01 14:09:17,2020-05-01,25,1000,300,36,36,46,20,2300,40
DOH000000000000292,855,JVF CLINIC AND LYING-IN MEMORIAL HOSPITAL,2020-04-24 8:41:11,2020-04-24 8:41:11,2020-04-24,4,770,134,91,101,100,84,1500,9
DOH000000000000292,2563,JVF CLINIC AND LYING-IN MEMORIAL HOSPITAL,2020-05-01 10:43:37,2020-05-01 10:43:37,2020-05-01,4,670,132,89,99,98,82,1470,9
DOH000000000000343,952,PIRA HOSPITAL,2020-04-24 9:15:49,2020-04-24 9:15:49,2020-04-24,25,550,280,23,15,0,60,250,20
DOH000000000000343,2661,PIRA HOSPITAL,2020-05-01 11:34:46,2020-05-01 11:34:46,2020-05-01,16,540,250,23,13,0,61,270,18
DOH000000000000357,221,"IMMACULATE HEART OF MARY HOSPITAL, INC.",2020-04-17 12:37:40,2020-04-17 12:37:40,2020-04-17,8,1000,3000,13,26,14,70,200,31
DOH000000000000359,2239,RESONABLE HOSPITAL,2020-05-01 8:29:52,2020-05-01 8:29:52,2020-05-01,70,1000,800,22,40,5,30,1500,40
DOH000000000000370,2345,ELGUIRA GENERAL HOSPITAL,2020-05-01 9:03:51,2020-05-01 9:03:51,2020-05-01,1000,220,1000,1000,1030,1000,5,0,1000
DOH000000000000373,2979,"LUZON MEDICAL CENTER, INC.",2020-05-01 15:04:44,2020-05-01 15:04:44,2020-05-01,70,1000,1300,1030,1000,1000,100,1000,1400
DOH000000000000385,2651,OUR LADY MEDIATRIX HOSPITAL,2020-05-01 12:20:46,2020-05-01 11:31:44,2020-05-01,45,6800,485,51,28,100,60,370,274
DOH000000000000385,1743,OUR LADY MEDIATRIX HOSPITAL,2020-04-24 16:34:32,2020-04-24 16:34:32,2020-04-24,35,3300,485,51,28,100,35,400,86
DOH000000000000385,598,OUR LADY MEDIATRIX HOSPITAL,2020-04-18 5:54:26,2020-04-18 5:54:26,2020-04-18,35,4400,500,51,28,100,35,490,93
DOH000000000000386,2800,"STA. MARIA JOSEFA HOSPITAL FOUNDATION, INC",2020-05-01 13:17:18,2020-05-01 13:17:18,2020-05-01,60,5000,500,65,50,200,100,950,60
DOH000000000000392,2215,"NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT.)",2020-05-01 8:22:11,2020-05-01 8:22:11,2020-05-01,220,1000,100,220,220,100,250,1200,200
DOH000000000000393,2292,RAMOS GENERAL HOSPITAL,2020-05-01 8:45:40,2020-05-01 8:45:40,2020-05-01,1200,3000,1200,1000,1200,500,100,2000,1050
DOH000000000000393,409,RAMOS GENERAL HOSPITAL,2020-04-17 15:39:53,2020-04-17 15:39:53,2020-04-17,57,4000,100,19,20,100,50,2000,54
DOH000000000000397,1240,"TOBIAS FELICIANO FAITH HOSPITAL, INC.",2020-04-24 11:43:28,2020-04-24 11:43:28,2020-04-24,4,300,200,150,60,50,100,300,20
DOH000000000000397,2076,"TOBIAS FELICIANO FAITH HOSPITAL, INC.",2020-05-01 6:41:55,2020-05-01 6:41:55,2020-05-01,4,300,200,150,60,50,100,300,20
DOH000000000000400,1160,"LORMA MEDICAL CENTER, INC.",2020-04-24 10:54:12,2020-04-24 10:54:12,2020-04-24,189,92800,7635,370,1211,3808,169,226533,2256
