hfhudcode,id,cfname,updateddate,addeddate,reportdate,icu_v,icu_o,isolbed_v,isolbed_o,beds_ward_v,beds_ward_o,mechvent_v,mechvent_o
DOH000000000000244,17854,SANTA ROSA COMMUNITY HOSPITAL,2020-04-30 8:15:37,2020-04-30 8:14:30,2020-04-30,0,0,8,0,0,0,0,0
DOH000000000000268,9439,DAVAO REGIONAL MEDICAL CENTER,2020-04-24 14:15:28,2020-04-24 14:15:28,2020-04-24,0,2,30,10,0,0,1,1
DOH000000000000270,25823,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-05-05 5:45:34,2020-05-05 5:45:34,2020-05-05,3,1,7,6,0,9,1,0
DOH000000000000270,20826,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-05-02 6:36:55,2020-05-02 6:36:55,2020-05-02,3,1,6,9,0,7,1,0
DOH000000000000270,24221,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-05-04 7:17:47,2020-05-04 7:17:47,2020-05-04,3,1,5,4,0,12,1,0
DOH000000000000270,22532,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,2020-05-03 7:05:54,2020-05-03 7:05:54,2020-05-03,4,0,3,8,0,11,1,0
DOH000000000000271,6982,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-23 8:03:50,2020-04-23 8:03:50,2020-04-23,7,13,51,43,0,0,28,0
DOH000000000000271,5679,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-22 7:50:07,2020-04-22 7:50:07,2020-04-22,8,12,47,47,0,0,28,0
DOH000000000000271,11800,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-26 9:04:14,2020-04-26 9:04:14,2020-04-26,5,15,87,50,0,0,28,0
DOH000000000000271,9833,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,2020-04-25 7:33:57,2020-04-25 7:33:57,2020-04-25,5,15,50,49,0,0,28,0
